ORG_ID,ORG_NAME,ORG_ADDRESS,ORG_CITY,ORG_CONTACT,ORG_RATING,ORG_TOTAL_SALES
1,Voomm,1105 Hintze Court,Gordeyevka,Dre Emmins,3,4889.14
2,Yotz,90 Crest Line Avenue,Błonie,Ferdie Buscher,5,6857.66
3,Skaboo,3928 Hoepker Crossing,Qŭshkŭpir,Kaile Saile,2,383.76
4,Twitterworks,471 Fremont Circle,Patea,Valentin Mayor,3,942.15
5,Oba,022 Bunting Road,Paseyan,Berton Wallman,0,9165.02
6,Jayo,1549 Sunfield Drive,Vagonoremont,Stanford Haydney,1,9488.16
7,Roombo,6 Norway Maple Plaza,Tosno,Malena Derrick,5,7459.79
8,Bubblemix,52082 Miller Pass,Jingcheng,Blakeley Ryce,1,5899.12
9,Meejo,1 Union Drive,Jukui,Flossi Itzhayek,0,7954.02
10,Chatterbridge,82510 Vernon Avenue,Donglu,Aidan Smissen,4,4013.27
11,Oyoba,44174 Hazelcrest Alley,Vilya,Lazar Timson,4,1961.78
12,Eire,0232 7th Way,Šestajovice,Padget Marunchak,3,2441.13
13,JumpXS,35819 Hallows Circle,Banos,Lorrin Finney,0,4082.54
14,Feedmix,71697 Banding Parkway,Pohrebyshche,Dulcie Seson,3,8422.51
15,DabZ,882 Village Point,Sintansin,Claudelle Greally,3,7475.55
16,Layo,35 Debra Street,Gravelbourg,Ali Burlingham,1,3650.29
17,Divanoodle,3 Del Mar Circle,Denov,Jens Craigg,4,9793.93
18,Cogilith,967 Burning Wood Crossing,Mawa,Welbie Leupoldt,2,6475.81
19,Yoveo,4082 Forster Alley,Kurumkan,Lib Glassman,2,4878.31
20,Realblab,6 Londonderry Terrace,Oepula,Alford Tipton,4,2368.46
21,Flashdog,54302 Magdeline Park,Yangmadao,Barbabas Spurway,4,9610.43
22,Kwimbee,90 Cambridge Pass,Lysekil,Ina Barter,3,4585.14
